Adjectives,Subject,Time Period,Region,About (Buzzword),About,Professor Adjective,Who,For,Other,Class
,,,,,,,,,,"ENGL 25947 Ubiquitous Mediation: Time, Narrative, Materiality"
,,,,,,,,,,ENGL 26000 Anglo-American Gothic Fiction in the Nineteenth Century
,,,,,,,,,,ENGL 26706 New York School Poetry
,,,,,,,,,,ENGL 26905 American Novel Between the Wars: 1919-1945
,,,,,,,,,,ENGL 26906 Wayward Shots: Alternative Aesthetics of the American West
,,,,,,,,,,ENGL 27306 Introduction to Afro-American Literature: 1892-1974
,,,,,,,,,,ENGL 27307 Ralph Ellison's Invisible Man and the Problem of Democracy
,,,,,,,,,,ENGL 27308 African-American Autobiography
,,,,,,,,,,"ENGL 28812 The Little Magazine and the Little Book, 1912-2012"
,,,,,,,,,,ENGL 29300 History of International Cinema I: Silent Era
,,,,,,,,,,ENGL 29600 History of International Cinema II: Sound Era to 1960
,,,,,,,,,,ENGL 29700 Reading Course
,,,,,,,,,,ENGL 29900 Independent BA Paper Preparation
,,,,,,,,,,ENGL 10400 Introduction to Poetry
,,,,,,,,,,ENGL 14900 Old English
,,,,,,,,,,ENGL 15000 Old English Poetry
,,,,,,,,,,ENGL 15500 Chaucer: The Canterbury Tales
,,,,,,,,,,ENGL 15800 Medieval Epic
,,,,,,,,,,ENGL 20104 London Program: Monty Python and the Holy Grail: King Arthur
,,,,,,,,,,ENST 12100 Chemistry and the Atmosphere
,,,,,,,,,,ENST 12300 Global Warming: Understanding the Forecast
,,,,,,,,,,ENST 12404 Environmental Ecology
,,,,,,,,,,"ENST 13106 The Hungry Earth: Light, Energy, and Subsistence"
,,,,,,,,,,ENST 13300 The Atmosphere
,,,,,,,,,,ENST 20500 Introduction to Population
,,,,,,,,,,ENST 21201 Human Impact on the Environment
,,,,,,,,,,ENST 21300 Making the Natural World: Foundations of Human Ecology
,,,,,,,,,,ENST 21800 Economics and Environmental Policy
,,,,,,,,,,ENST 22000 The Anthropology of Development
,,,,,,,,,,ENST 22504 Losing the Farm: Globalization and Food Production in the Twentieth Century
,,,,,,,,,,ENST 23100 Environmental Law
,,,,,,,,,,ENST 23289 Marine Ecology
,,,,,,,,,,ENST 23500 Political Sociology
,,,,,,,,,,ENST 23900 Environmental Chemistry
,,,,,,,,,,ENST 24102 Environmental Politics
,,,,,,,,,,"ENST 24705 Energy: Science, Technology, and Human Usage"
,,,,,,,,,,ENST 25100 Ecological Applications to Conservation Biology
,,,,,,,,,,ENST 25300 The Planetary Footprint of Farming
,,,,,,,,,,ENST 25500 Biogeography
,,,,,,,,,,ENST 25900 Cultural Geography
,,,,,,,,,,ENST 26100 Roots of the Modern American City
,,,,,,,,,,ENST 26300 The Chinese Environment
,,,,,,,,,,ENST 26500 Environmental Economics
,,,,,,,,,,ENST 26510 Advanced Topics in Environmental Economics
,,,,,,,,,,"ENST 26530 Environment, Agriculture, and Food: Economic and Policy Analysis"
,,,,,,,,,,ENST 27400 Principles of Epidemiology
,,,,,,,,,,ENST 28210 Colonial Ecologies
,,,,,,,,,,ENST 28601 Ideas of Nature I
,,,,,,,,,,ENST 28602 Ideas of Nature II
,,,,,,,,,,ENST 28700 Environment and the Body
,,,,,,,,,,ENST 29000 Energy and Energy Policy
,,,,,,,,,,"ENST 29105 Spoons Full of Sugar: Economic, Political, and Social Repercussions of the Sugar Industry"
,,,,,,,,,,ENST 29700 Reading and Research
,,,,,,,,,,ENST 29801 BA Colloquium I
,,,,,,,,,,ENST 29802 BA Colloquium II
,,,,,,,,,,FNDL 20100 Dostoyevsky's Crime and Punishment
,,,,,,,,,,FNDL 21201 Milton
,,,,,,,,,,"FNDL 21207 Three Erotic Dialogues: Plato, Xenophon, Plutarch"
,,,,,,,,,,FNDL 21211 Don Quixote
,,,,,,,,,,FNDL 21213 Arendt and Heidegger
,,,,,,,,,,FNDL 21403 Shakespeare I: Histories and Comedies
,,,,,,,,,,FNDL 21404 Shakespeare II: Tragedies and Romances
,,,,,,,,,,"FNDL 21705 Calvin on Idolatry, Sovereignty, and Freedom"
,,,,,,,,,,FNDL 21714 Boccaccio's Decameron
,,,,,,,,,,FNDL 21805 Introduction to Marx
,,,,,,,,,,FNDL 21809 Immanuel Kant's Critique of Practical Reason
,,,,,,,,,,FNDL 21901 Homer's Odyssey
,,,,,,,,,,FNDL 22002 Pirandello and Pirandellism
,,,,,,,,,,FNDL 22003 Aesthetics of Hume and Kant
,,,,,,,,,,FNDL 22205 Hamlet and Critical Methods
,,,,,,,,,,FNDL 22214 Leviathan
,,,,,,,,,,FNDL 23301 Spenser
,,,,,,,,,,FNDL 23409 Introduction to Heidegger
,,,,,,,,,,"FNDL 23804 Marcel Proust, In Search of Lost Time, Part I"
,,,,,,,,,,"FNDL 23805 Marcel Proust, In Search of Lost Time, Part II"
,,,,,,,,,,FNDL 23901 The Cinema of Jean Renoir
,,,,,,,,,,FNDL 24001 Ulysses
,,,,,,,,,,FNDL 24314 Dream of the Red Chamber and the Culture of Late Imperial China
,,,,,,,,,,FNDL 24400 The Mahabharata in English Translation
,,,,,,,,,,"FNDL 24411 Lincoln: Slavery, War, and the Constitution"
,,,,,,,,,,FNDL 25300 Lolita
,,,,,,,,,,FNDL 25302 Outsiders I: Elsa Morante
,,,,,,,,,,FNDL 25700 Chaucer: The Canterbury Tales
,,,,,,,,,,FNDL 25801 Ralph Ellison's Invisible Man and the Problem of Democracy
,,,,,,,,,,FNDL 26104 Smith and Tocqueville
,,,,,,,,,,FNDL 26706 Reading Sir Frances Bacon
,,,,,,,,,,FNDL 27104 Milan Kundera
,,,,,,,,,,FNDL 27906 Plotinus
,,,,,,,,,,FNDL 28101 Aristotelian Ethics
,,,,,,,,,,FNDL 28202 Introduction to the New Testament
,,,,,,,,,,FNDL 28203 Topics from Hegel's Phenomenology of Spirit
,,,,,,,,,,FNDL 29605 Freud's Interpretation of Dreams
,,,,,,,,,,FNDL 29901 Independent Study: Junior Paper
,,,,,,,,,,FNDL 29902 Independent Study: Senior Examination
,,,,,,,,,,FREN 13100 Introduction to French through Reading
,,,,,,,,,,FREN 20500 Ecrire en français
,,,,,,,,,,FREN 20601 Expression orale et phonétique
,,,,,,,,,,FREN 21500 Stylistique et analyse littéraire
,,,,,,,,,,FREN 21703 Introduction à la littérature française I
,,,,,,,,,,FREN 21803 Introduction à la littérature française II: Littérature à l'Age des Lumières
,,,,,,,,,,FREN 21903 Introduction à la littérature française III: Littérature à l'Age des Révolutions
,,,,,,,,,,FREN 22003 Introduction à la littérature française IV: Du moderne au contemporain
,,,,,,,,,,FREN 22203 The Literary Avant-Garde
,,,,,,,,,,FREN 22702 Montaigne and the Form of the Essay
,,,,,,,,,,"FREN 23804 Marcel Proust, In Search of Lost Time, Part I"
,,,,,,,,,,"FREN 23805 Marcel Proust, In Search of Lost Time, Part II"
,,,,,,,,,,FREN 24301 Le Règne des passions au 17e siècle
,,,,,,,,,,FREN 27600 Ancien Francais/Old French
,,,,,,,,,,"FREN 27900 Le Livre Antillais: Culture, Écriture Et Politique"
,,,,,,,,,,"FREN 28500 Les Revenants: histoire, fiction et société au 19e siècle"
,,,,,,,,,,FREN 29512 Voltaire
,,,,,,,,,,FREN 29900 BA Paper Preparation: French
,,,,,,,,,,GEEZ 10101 Elementary Ge'ez-1
,,,,,,,,,,GEEZ 10102 Elementary Ge'ez-2
,,,,,,,,,,GEEZ 10103 Readings: Classical Ethiopic
,,,,,,,,,,GEOG 20000 Orientation Seminar
,,,,,,,,,,GEOG 20100 Cultural Geography
,,,,,,,,,,GEOG 21900 Historical Geography of the United States
,,,,,,,,,,GEOG 22100 Changing America in the Twentieth Century
,,,,,,,,,,GEOG 22700 Urban Structure and Process
,,,,,,,,,,"GEOG 23003 Urban Europe, 1600 to the Present"
,,,,,,,,,,GEOG 23500 Urban Geography
,,,,,,,,,,GEOG 25300 Seminar: Problems in the Human Geography of the Middle East
,,,,,,,,,,GEOG 25500 Biogeography
,,,,,,,,,,GEOG 26100 Roots of the Modern American City
,,,,,,,,,,GEOG 26300 The Chinese Environment
,,,,,,,,,,GEOG 26600 Economics of Urban Policies
,,,,,,,,,,GEOG 27600 Colloquium: Hyde Park and Chicago's South Side as Historical Laboratory
,,,,,,,,,,GEOG 28200 Introduction to GIS
,,,,,,,,,,GEOG 28400 Intermediate GIS
,,,,,,,,,,GEOG 28600 Advanced GIS
,,,,,,,,,,GEOG 28800 History of Cartography
,,,,,,,,,,GEOG 29100 Undergraduate Tutorial
,,,,,,,,,,GEOG 29300 Readings in Geographic Literature in French
,,,,,,,,,,GEOG 29400 Readings in Nature and Culture
,,,,,,,,,,GEOG 29500 Readings in Culture and Nationality
,,,,,,,,,,GEOG 29700 Readings in Special Topics in Geography
,,,,,,,,,,GEOG 29800 Senior Seminar
,,,,,,,,,,GEOG 42400 Urban Landscapes as Social Text
,,,,,,,,,,GEOS 13100 Physical Geology
,,,,,,,,,,GEOS 13200 Earth History
,,,,,,,,,,GEOS 13300 The Atmosphere
,,,,,,,,,,GEOS 21000 Introduction to Mineralogy
,,,,,,,,,,GEOS 21005 Mineral Science
,,,,,,,,,,GEOS 21100 Introduction to Petrology
,,,,,,,,,,GEOS 21200 Physics of the Earth
,,,,,,,,,,"GEOS 21205 Introduction to Seismology, Earthquakes, and Near-Surface Earth Seismicity"
,,,,,,,,,,GEOS 21400 Thermodynamics and Phase Change
,,,,,,,,,,GEOS 22000 Origin and Evolution of the Solar System
,,,,,,,,,,GEOS 22040 Formation of Planetary Systems in Our Galaxy: From Dust to Planetesimals
,,,,,,,,,,GEOS 22050 Formation of Planetary Systems in our Galaxy: From Planetesimals to Planets
,,,,,,,,,,GEOS 22200 Geochronology
,,,,,,,,,,GEOS 23200 Climate Dynamics of the Earth and Other Planets
,,,,,,,,,,GEOS 23205 Introductory Glaciology
,,,,,,,,,,GEOS 23400 Global Warming: Understanding the Forecast
,,,,,,,,,,GEOS 23800 Global Biogeochemical Cycles
,,,,,,,,,,GEOS 23805 Stable Isotope Biogeochemistry
,,,,,,,,,,GEOS 23900 Environmental Chemistry
,,,,,,,,,,GEOS 24500 The Atmosphere and Ocean in Motion
,,,,,,,,,,GEOS 24600 Laboratory Course on Weather and Climate
,,,,,,,,,,"GEOS 24705 Energy: Science, Technology, and Human Usage"
,,,,,,,,,,GEOS 25400 Introduction to Numerical Techniques for the Geophysical Sciences
,,,,,,,,,,GEOS 26300 Invertebrate Paleobiology and Evolution
,,,,,,,,,,GEOS 26400 Principles of Paleontology
,,,,,,,,,,GEOS 27000 Evolutionary History of Terrestrial Ecosystems
,,,,,,,,,,GEOS 28000 Introduction to Structural Geology
,,,,,,,,,,GEOS 28100 Global Tectonics
,,,,,,,,,,GEOS 28300 Principles of Stratigraphy
,,,,,,,,,,GEOS 29001 Field Course in Geology
,,,,,,,,,,GEOS 29002 Field Course in Modern and Ancient Environments
,,,,,,,,,,GEOS 29003 Field Course in Oceanography
,,,,,,,,,,GEOS 29005 Field Course in Environmental Science
,,,,,,,,,,GEOS 29700 Reading and Research in the Geophysical Sciences
,,,,,,,,,,GNDR 12000 The Biology of Gender
,,,,,,,,,,GNDR 20170 The Sociology of Deviant Behavior
,,,,,,,,,,GNDR 20202 Women Mystery Writers: From Page to Screen
,,,,,,,,,,GNDR 20800 Sexual Identity/Life Course/Life Study
,,,,,,,,,,GNDR 21001 Cultural Psychology
,,,,,,,,,,"GNDR 21400 Advanced Theories of Sex/Gender: Ideology, Culture, and Sexuality"
,,,,,,,,,,GNDR 21500 Darwinian Health
,,,,,,,,,,GNDR 21805 Gender and Writing at the Fin de Siècle
,,,,,,,,,,"GNDR 21906 Sex, Drugs, and the Literature of American Altered Consciousness"
,,,,,,,,,,GNDR 22203 Women in Mesopotamian Art
,,,,,,,,,,GNDR 22205 Anglo-American Gothic Fiction in the Nineteenth Century
,,,,,,,,,,GNDR 22401 Latina/o Intellectual Thought
,,,,,,,,,,"GNDR 23102 Love, Conjugality, and Capital: Intimacy in the Modern World"
,,,,,,,,,,GNDR 23302 Writing Postcolonial History
,,,,,,,,,,GNDR 23303 Bombay/Mumbai: Urban Life/Urban Politics
,,,,,,,,,,GNDR 23700 Medieval Women's Religious Writing
,,,,,,,,,,"GNDR 23804 Marcel Proust In Search of Lost Time, Part I"
,,,,,,,,,,"GNDR 23805 Marcel Proust In Search of Lost Time, Part II"
,,,,,,,,,,GNDR 24001 Love and Eros: Japanese History
,,,,,,,,,,GNDR 24703 American Women Writing at Mid-Century
,,,,,,,,,,GNDR 24804 Lines of Transmission: Comics and Autobiography
,,,,,,,,,,GNDR 24900 Nabokov:  Lolita
,,,,,,,,,,GNDR 24903 Mimesis
,,,,,,,,,,GNDR 25104 Sexology and Queer Theory
,,,,,,,,,,GNDR 25200 Happiness
,,,,,,,,,,GNDR 25900 Austen:  Pride and Prejudice/Emma/Persuasion
,,,,,,,,,,GNDR 26501 Politics of Reproduction in Historical Perspective
,,,,,,,,,,GNDR 27100 Sociology of Human Sexuality
,,,,,,,,,,GNDR 27502 Indian Cinema: An Introduction
,,,,,,,,,,GNDR 27702 Gender in the Balkans through Literature and Film
,,,,,,,,,,GNDR 28601 Outsiders I: Elsa Morante
,,,,,,,,,,GNDR 28604 Law and Social Movements in Modern America
,,,,,,,,,,GNDR 28605 Feminist Theory
,,,,,,,,,,GNDR 29700 Readings in Gender Studies
,,,,,,,,,,GREK 21100 Elegiac Poetry
,,,,,,,,,,GREK 21200 Plato
,,,,,,,,,,GREK 21300 Tragedy
,,,,,,,,,,GREK 21700 Lyric and Epinician Poetry
,,,,,,,,,,GREK 21800 Greek Epic
,,,,,,,,,,GREK 21900 Greek Oratory
,,,,,,,,,,GREK 22300 Greek Tragedy I: Euripides
,,,,,,,,,,GREK 22400 Greek Comedy: Aristophanes
,,,,,,,,,,GREK 22500 Greek Historians: Herodotus
,,,,,,,,,,GREK 28000 The Greek City and Its Inscriptions
,,,,,,,,,,GREK 34400 Greek Prose Composition
,,,,,,,,,,GRMN 10201 Elementary German
,,,,,,,,,,GRMN 13100 Reading German
,,,,,,,,,,GRMN 23511 Man and Machine
,,,,,,,,,,GRMN 24311 Three Generations
,,,,,,,,,,GRMN 24411 Kafka as a Storyteller
,,,,,,,,,,GRMN 25212 Enlightenment Fantasies
,,,,,,,,,,GRMN 25311 Bargaining with the Devil
,,,,,,,,,,"GRMN 25811 German Cinema, 1945 to 1980"
,,,,,,,,,,GRMN 26211 Enlightenment's Imaginary
,,,,,,,,,,GRMN 26511 The Age of Goethe
,,,,,,,,,,GRMN 27212 Freud’s Interpretation of Dreams
,,,,,,,,,,GRMN 28411 Comparative Metrics
,,,,,,,,,,GRMN 28711 Nietzsche
,,,,,,,,,,GRMN 29000 Major Works of Modernism
,,,,,,,,,,GRMN 29700 Reading and Research Course in German
,,,,,,,,,,GRMN 29900 BA Paper
,,,,,,,,,,GRMN 34900 Old English
,,,,,,,,,,GRMN 37412 The Cinema of Catastrophe and Resistance: Readings in Cultural and Aesthetic Theory
,,,,,,,,,,HEBR 10101 Elementary Classical Hebrew I
,,,,,,,,,,HEBR 10102 Elementary Classical Hebrew II
,,,,,,,,,,HEBR 10103 Elementary Classical Hebrew III
,,,,,,,,,,HEBR 10501 Introductory Modern Hebrew I
,,,,,,,,,,HEBR 10502 Introductory Modern Hebrew II
,,,,,,,,,,HEBR 10503 Introductory Modern Hebrew III
,,,,,,,,,,HEBR 20001 Hebrew Letters and Inscriptions
,,,,,,,,,,HEBR 20002 Phoenician Inscriptions
,,,,,,,,,,HEBR 20003 Punic Inscriptions
,,,,,,,,,,HEBR 20104 Intermediate Classical Hebrew I
,,,,,,,,,,HEBR 20105 Intermediate Classical Hebrew II
,,,,,,,,,,HEBR 20106 Intermediate Classical Hebrew III
,,,,,,,,,,HEBR 20204 Rdgs: Dead Sea Scrolls
,,,,,,,,,,HEBR 20301 Tannaitic Hebrew Texts I
,,,,,,,,,,HEBR 20302 Tannaitic Hebrew Texts II
,,,,,,,,,,HEBR 20501 Intermediate Modern Hebrew I
,,,,,,,,,,HEBR 20502 Intermediate Modern Hebrew II
,,,,,,,,,,HEBR 20503 Intermediate Modern Hebrew III
,,,,,,,,,,HEBR 30501 Advanced Modern Hebrew-1
,,,,,,,,,,HEBR 30502 Advanced Modern Hebrew-2
,,,,,,,,,,HEBR 30503 Advanced Modern Hebrew-3
,,,,,,,,,,HEBR 30601 Advanced Readings in Modern Hebrew I
,,,,,,,,,,HEBR 30602 Advanced Readings in Modern Hebrew II
,,,,,,,,,,HEBR 30603 Advanced Readings in Modern Hebrew III
,,,,,,,,,,HIPS 20500 Intermediate Logic I: Incompleteness
,,,,,,,,,,HIPS 20700 Elementary Logic
,,,,,,,,,,HIPS 20800 Evolutionary Processes
,,,,,,,,,,HIPS 21000 Introduction to Ethics
,,,,,,,,,,HIPS 21100 The Practice of Anthropology: Celebrity and Science in Paleoanthropology
,,,,,,,,,,HIPS 21200 Big Science and the Birth of the National Security State
,,,,,,,,,,HIPS 21301 The Anthropology of Science
,,,,,,,,,,HIPS 21911 Medical Ethics: Who Decides and on What Basis
,,,,,,,,,,HIPS 22300 Philosophy of Social Science
,,,,,,,,,,HIPS 22601 Medicine and Society in Twentieth-Century China
,,,,,,,,,,HIPS 23000 The Organization of Knowledge
,,,,,,,,,,HIPS 23600 Classical Readings in Anthropology: History and Theory of Human Evolution
,,,,,,,,,,HIPS 23700 Apes and Human Evolution
,,,,,,,,,,HIPS 23900 Biological and Cultural Evolution
,,,,,,,,,,HIPS 24000 Evolution of the Hominoidea
,,,,,,,,,,HIPS 24300 Foucault and the History of Sexuality
,,,,,,,,,,HIPS 24800 Gender and History and Science Technology and Medicine
,,,,,,,,,,HIPS 24913 Victorian Science
,,,,,,,,,,HIPS 25107 Sciences of Mind and the Moving Image
,,,,,,,,,,HIPS 25203 Media Ecology: Embodiment and Software
,,,,,,,,,,HIPS 25307 History and Historiography of Science
,,,,,,,,,,HIPS 25408 The History of Suggestion
,,,,,,,,,,HIPS 25700 Science in Victorian Britain
,,,,,,,,,,HIPS 25901 Evolution of Mind and Morality: Nineteenth to Twenty-First Centuries
,,,,,,,,,,HIPS 26000 History of Philosophy II: Medieval and Early Modern Philosophy
,,,,,,,,,,HIPS 26203 Nature/Culture
,,,,,,,,,,HIPS 26302 Human Condition: Self as Subject/Object/Machine
,,,,,,,,,,HIPS 26502 Social Studies of Science
,,,,,,,,,,"HIPS 26701 Goethe: Literature, Science, and Philosophy"
,,,,,,,,,,HIPS 27300 Medicine and Culture
,,,,,,,,,,HIPS 28002 Sciences of Memory in the Twentieth Century
,,,,,,,,,,HIPS 28101 Psychoanalysis and Philosophy
,,,,,,,,,,HIPS 28202 Topics in Philosophy of Science: Mechanism and Causation
,,,,,,,,,,HIPS 28601 Environment and the Body
,,,,,,,,,,HIPS 28801 Environmental Law
,,,,,,,,,,"HIPS 29700 Readings and Research in History, Philosophy, and Social Studies of Science and Medicine"
,,,,,,,,,,HIPS 29800 Junior Seminar: My Favorite Readings in the History and Philosophy of Science
,,,,,,,,,,HIPS 29900 Bachelor's Thesis
,,,,,,,,,,HIPS 30100 Bachelor's Thesis Workshop
,,,,,,,,,,HIST 17602 Introduction to Asian/Pacific Islander American History
,,,,,,,,,,HIST 20005 Colonial African History
,,,,,,,,,,HIST 20403 Aristophanes
,,,,,,,,,,HIST 21005 Economy and Society in Ancient Greece and Rome
,,,,,,,,,,"HIST 21702 Byzantine Empire, 610 to 1025"
,,,,,,,,,,"HIST 21703 Byzantine Empire, 1025 to 1453"
,,,,,,,,,,HIST 21900 History of Strategy
,,,,,,,,,,HIST 22001 Byzantium and Islam
,,,,,,,,,,HIST 22111 Mary and Mariology
,,,,,,,,,,HIST 22202 Jewish History and Society III
,,,,,,,,,,HIST 22406 Jewish History and Society II
,,,,,,,,,,HIST 22707 Britain's Industrial Revolution
,,,,,,,,,,HIST 22902 Renaissance Humanism
,,,,,,,,,,HIST 23000 Intellectual Property and Piracy
,,,,,,,,,,HIST 23002 Protestant Reformation in Germany
,,,,,,,,,,"HIST 23302 Europe, 1815 to 1914"
,,,,,,,,,,"HIST 23305 Europe, 1660 to 1815"
,,,,,,,,,,"HIST 23306 Europe, 1914 to Present"
,,,,,,,,,,HIST 23407 Comparative Kingship: Rulers in 12th-Century Europe
,,,,,,,,,,HIST 23510 The Arts of Language in the Middle Ages: The Trivium
,,,,,,,,,,"HIST 24003 The Russian Empire, 1700 to 1917"
,,,,,,,,,,HIST 24110 Buddhism and the West
,,,,,,,,,,HIST 24111 The Japanese Empire and National Formations in East Asia
,,,,,,,,,,HIST 24206 Medicine and Culture in Modern East Asia
,,,,,,,,,,HIST 24207 Imperialism and Popular Culture
,,,,,,,,,,HIST 24210 Modern Japan
,,,,,,,,,,HIST 24500 Reading Qing Documents
,,,,,,,,,,HIST 24504 Reading the Revolution: Chinese Social History in Documents
,,,,,,,,,,"HIST 24507 Everyday Maoism: Work, Daily Life, and Material Culture in Socialist China"
,,,,,,,,,,HIST 24706 Edo/Tokyo: Society and the City in Japan
,,,,,,,,,,HIST 24710 Oral History and the Politics of Memory in Socialist China
,,,,,,,,,,HIST 24913 Victorian Science
,,,,,,,,,,HIST 25104 History and Philosophy of Biology
,,,,,,,,,,HIST 25107 Sciences of Mind and the Moving Image
,,,,,,,,,,"HIST 25203 Economic/Social History of Europe, 1700 to 1880"
,,,,,,,,,,"HIST 25204 Economic/Social History of Europe, 1880 to the Present"
,,,,,,,,,,"HIST 25300 American Revolution, 1763 to 1789"
,,,,,,,,,,HIST 25307 History and Historiography of Science
,,,,,,,,,,HIST 25408 The History of Suggestion
,,,,,,,,,,HIST 25807 The High Caliphate
,,,,,,,,,,HIST 26106 Tropical Commodities in Latin America
,,,,,,,,,,"HIST 26113 Culture, Politics, and Sexuality in the Latin American 1960s"
,,,,,,,,,,HIST 26212 Brazilian Cultural History
,,,,,,,,,,"HIST 26500 History of Mexico, 1876 to Present"
,,,,,,,,,,HIST 26508 A Transnational History of Youth in the 20th Century
,,,,,,,,,,HIST 27006 Not Just the Facts: Telling about the American South
,,,,,,,,,,"HIST 27102 Lincoln: Slavery, War, and the Constitution"
,,,,,,,,,,HIST 27114 Haitian Revolution and Human Rights
,,,,,,,,,,HIST 27400 Race and Racism in American History
,,,,,,,,,,HIST 27403 African American Lives and Times
,,,,,,,,,,"HIST 27705 Introduction to Black Chicago, 1893 to 2008"
,,,,,,,,,,HIST 28404 Politics of Reproduction in Historical Perspective
,,,,,,,,,,HIST 28503 Historicizing American Power Culture
,,,,,,,,,,HIST 28604 Law and Social Movements in Modern America
,,,,,,,,,,"HIST 28703 Baseball and American Culture, 1840 to Present"
,,,,,,,,,,HIST 28800 Historical Geography of the United States
,,,,,,,,,,HIST 28803 Motherhood As Institution and Historical Practice
,,,,,,,,,,HIST 29301 Human Rights I: Philosophical Foundations of Human Rights
,,,,,,,,,,HIST 29302 Human Rights II: History and Theory
,,,,,,,,,,HIST 29303 Human Rights III: Contemporary Issues in Human Rights
,,,,,,,,,,HIST 29306 Problems in the Study of Gender
,,,,,,,,,,HIST 29408 Human Rights in Mexico
,,,,,,,,,,HIST 29613 Colloquium: Hyde Park and Chicago's South Side as Historical Laboratory
,,,,,,,,,,HIST 29624 History Colloquium: Civil Rights and Cultural Revolution
,,,,,,,,,,HIST 29625 History Colloquium: The European Family
,,,,,,,,,,HIST 29626 History Colloquium: Sex and the City in International History
,,,,,,,,,,HIST 29627 History Colloquium: Life Stories of Russian Women
,,,,,,,,,,HIST 29700 Readings in History
,,,,,,,,,,HIST 29802 BA Essay Seminar
,,,,,,,,,,HIST 29900 Tolkien: Medieval and Modern
,,,,,,,,,,"HIST 21703 Byzantine Empire, 1025 to 1453"
,,,,,,,,,,HIST 22001 Byzantium and Islam
,,,,,,,,,,HIST 22111 Mary and Mariology
,,,,,,,,,,HIST 23407 Comparative Kingship: Rulers in 12th-Century Europe
,,,,,,,,,,HIST 23510 The Arts of Language in the Middle Ages: The Trivium
,,,,,,,,,,"HIST 24003 The Russian Empire, 1700 to 1917"
,,,,,,,,,,HIST 29627 History Colloquium: Life Stories of Russian Women
,,,,,,,,,,HUMA 02980 Practicum
,,,,,,,,,,HUMA 19100 Humanities Writing Seminars
,,,,,,,,,,HUMA 23502 The Organization of Knowledge
,,,,,,,,,,HUMA 23801 The Thought of Hannah Arendt
,,,,,,,,,,HUMA 24900 Happiness
,,,,,,,,,,HUMA 25202 Media Ecology: Embodiment and Software
,,,,,,,,,,HUMA 26308 Being Christian in the Roman Empire: Political Loyalty and Dissent in Early Christian Literature
,,,,,,,,,,HUMA 26401 On Love: Classical and Modern Perspectives
,,,,,,,,,,HUMA 29700 Reading Course
,,,,,,,,,,INST 23101 Contemporary Global Issues I
,,,,,,,,,,INST 23102 Contemporary Global Issues II
,,,,,,,,,,INST 27401 Magic in the Market
,,,,,,,,,,"INST 27501 Global Capital, Local Bodies: Speculative, Spectral, and Scientific Economies"
,,,,,,,,,,INST 29700 Reading and Research
,,,,,,,,,,ISHU 29802 The BA Colloquium
,,,,,,,,,,ISHU 29900 Preparation of the BA Project
,,,,,,,,,,ITAL 20400 Corso di perfezionamento
,,,,,,,,,,ITAL 20500 Luci e ombre nell’Italia contemporanea
,,,,,,,,,,"ITAL 21100 Le regioni italiane: lingua, dialetti, tradizioni"
,,,,,,,,,,ITAL 21200 Poeti del Duecento
,,,,,,,,,,ITAL 22600 The Making and Unmaking of Petrarch's Canzoniere
,,,,,,,,,,ITAL 23502 Boccaccio's Decameron
,,,,,,,,,,ITAL 24011 Exile and Authorship in the Medieval Romance Literatures
,,,,,,,,,,ITAL 24803 Outsiders I: Elsa Morante
,,,,,,,,,,ITAL 25200 Vico and His Legacy
,,,,,,,,,,ITAL 25400 Il Seicento
,,,,,,,,,,ITAL 26400 Pirandello and Pirandellism
,,,,,,,,,,ITAL 29900 BA Paper Preparation: Italian
,,,,,,,,,,JAPN 29300 Introduction to Classical Japanese
,,,,,,,,,,JWSC 11000 Biblical Aramaic
,,,,,,,,,,JWSC 11100 Old Aramaic Inscriptions
,,,,,,,,,,JWSC 11200 Imperial Aramaic
,,,,,,,,,,JWSC 21003 Archaeology of the Ancient Near East III: Levant
,,,,,,,,,,JWSC 24500 America's White Ethnics: Contemporary Italian- and Jewish-American Ethnic Identities
,,,,,,,,,,"JWSC 24790 Self-Transformation and Political Resistance: Michel Foucault, Pierre Hadot, Primo Levi, Martin Luther King, Jr"
,,,,,,,,,,JWSC 25601 Advanced Readings in Modern Hebrew
,,,,,,,,,,JWSC 26100 Maimonides and Hume on Religion
,,,,,,,,,,JWSC 26450 Jewish Political Thought
,,,,,,,,,,JWSC 26801 The Thought of Hannah Arendt
,,,,,,,,,,JWSC 29700 Reading and Research Course
,,,,,,,,,,JWSC 29900 BA Paper Preparation Course
,,,,,,,,,,KAZK 10101 Elementary Kazakh-1
,,,,,,,,,,KAZK 10102 Elementary Kazakh II
,,,,,,,,,,KAZK 10103 Elementary Kazakh III
,,,,,,,,,,KORE 20500 Accelerated Korean for Bilingual Speakers
,,,,,,,,,,KORE 42100 Korean Contemporary TV and Language
,,,,,,,,,,KORE 42200 Contemporary Korean Society and History through Fiction and Film
,,,,,,,,,,KORE 42300 Changing Identity of Contemporary Korean through Film and Literature
,,,,,,,,,,LACS 20100 The Inka and Aztec States
,,,,,,,,,,LACS 20400 Intensive Study of a Culture: Lowland Maya History and Ethnography
,,,,,,,,,,LACS 21254 Intensive Study of a Culture: Pirates
,,,,,,,,,,LACS 21800 Introduction to Latin American Cultural Theory
,,,,,,,,,,LACS 21903 Introducción a las Literaturas Hispánicas: Textos Hispanoamericanos desde la Colonia a la Independencia
,,,,,,,,,,LACS 22205 Slavery and Unfree Labor
